GarageArea,GrLivArea,OverallQual,YearBuilt
774,1828,9,2007
308,894,5,1962
432,964,5,1921
857,1689,8,2002
843,1541,7,2001
400,1221,7,2004
440,1324,6,1965
484,1416,7,1999
297,988,4,1973
440,1218,6,1941
397,1656,7,2003
460,1362,6,2005
442,1839,6,1966
451,1375,6,1954
528,1122,5,1948
588,1432,5,1978
400,1456,7,2007
497,1217,7,1990
625,1040,5,1950
528,1224,6,2009
468,1774,7,1931
384,1367,5,1900
297,1360,5,1938
420,848,6,2004
749,2262,8,2003
396,1220,4,1951
398,1414,7,2004
396,2058,6,1917
0,1198,6,1920
499,1659,8,2000
308,1012,6,1920
672,3082,7,1920
672,1812,5,1900
650,1929,7,2001
576,954,5,1976
765,1838,9,2006
924,1640,6,1954
672,1148,5,1959
280,950,5,1971
471,1911,8,1993
440,1635,6,1923
440,1316,7,2007
615,1442,6,1970
500,1078,5,1971
544,1120,4,1961
527,1419,8,2002
240,1389,7,1946
280,1063,5,1954
874,1792,9,2003
402,1216,6,1998
576,1762,7,1920
434,1959,7,2004
546,1208,6,1977
315,1524,5,1958
240,1154,4,1922
420,1048,5,1950
273,886,5,1938
600,943,5,1979
603,1768,7,2005
779,2599,9,1999
275,912,5,1958
308,882,5,1956
511,1337,6,1998
850,2076,10,2006
752,2531,8,1995
240,1768,5,1937
538,1625,8,2006
389,2144,6,1958
880,2775,10,1893
477,1868,6,1984
541,1525,7,2000
722,1571,8,2007
0,796,5,1910
432,2372,5,1892
402,1472,7,1991
364,960,4,1965
372,1838,5,2005
484,1309,6,1974
694,2643,9,2006
200,1131,5,1941
400,1960,5,1952
336,1144,5,1963
576,1056,6,1980
0,693,4,1941
576,1494,6,1997
482,1646,8,2004
352,864,5,1972
750,1566,8,2008
497,1395,6,1972
539,1208,4,1925
180,1513,5,1920
560,1367,6,1931
386,955,5,1966
210,1077,3,1922
572,1056,5,1955
615,1553,7,2005
865,1614,7,2005
1390,2042,8,2008
326,1073,5,1921
240,1285,5,1948
550,2117,6,1970
0,605,4,1920
300,1150,5,1959
400,1456,6,2005
588,999,7,1961
564,1500,6,2005
375,1336,5,1953
398,1593,6,2004
836,2184,9,2008
573,1560,7,2003
312,1644,5,1942
286,630,4,1970
504,1113,6,1976
947,2172,7,2006
384,1346,4,1910
550,2610,8,2007
936,1958,7,2005
898,1468,8,2008
539,1734,5,1977
240,1200,5,1946
438,1550,7,2006
440,2230,4,1912
240,1639,6,1936
624,864,5,1958
440,1621,7,1984
264,987,6,1972
628,2519,7,1989
440,1365,5,1970
779,2290,8,2002
840,2596,9,2006
352,907,4,1957
440,1456,6,1976
540,1190,5,1962
684,858,4,1971
516,2223,7,1973
672,1005,4,1955
409,1895,7,1994
384,1040,5,1965
461,1264,5,1960
578,1761,7,2007
888,1034,6,1976
439,1363,7,1954
480,1689,6,1956
839,2113,8,1995
544,1573,7,2002
820,2364,9,2009
645,2034,7,1997
431,1291,6,1996
0,858,5,1958
280,1258,6,1939
246,438,2,1920
440,1400,6,1978
240,954,5,1938
645,1445,6,1964
525,1072,6,2005
0,1664,5,1965
441,2134,6,1916
380,3194,8,1934
0,1824,6,1971
422,1756,6,1996
576,912,5,1965
600,1509,6,1988
216,1608,6,1925
397,1316,6,2005
450,1015,5,1925
240,1134,5,1940
865,1636,8,2006
400,1320,7,2003
538,2126,5,1967
525,1128,5,1963
756,1306,5,1957
0,1344,4,1970
704,2554,7,1890
576,893,5,1949
668,1933,6,2007
264,1218,6,1973
534,1969,7,1977
556,2090,8,1995
487,1484,5,1971
506,1656,5,1973
210,1224,6,1926
390,2054,6,2000
576,854,7,1929
286,1092,4,1973
252,1268,5,1977
550,1661,7,1996
502,1668,8,2003
508,1493,6,1997
306,932,6,1950
526,1277,7,1970
630,1530,7,2004
484,1344,5,1958
528,860,5,1982
626,1314,7,2007
868,1962,7,2006
388,1490,7,2004
420,848,6,2004
240,672,5,1940
252,2340,7,1941
180,1656,5,1916
484,1479,7,1972
740,1226,7,2009
444,2087,6,1966
576,1158,6,2004
480,1154,5,1966
527,1724,7,1998
431,1658,6,1995
520,1126,4,1949
300,1393,5,1955
1014,3447,8,1935
264,987,6,1973
0,1355,5,1940
505,2069,7,1960
440,1501,7,1999
908,1976,8,2006
758,1563,8,2007
288,1111,7,1926
270,1502,7,1931
452,1733,3,1955
706,2728,9,2005
264,1302,5,1972
586,1524,7,1979
680,1588,4,1959
430,1125,5,2006
480,1200,7,2005
520,1640,6,2004
525,2127,7,1994
240,972,6,1948
466,2020,8,1995
596,1144,5,1956
288,1352,5,1958
484,1316,5,1929
592,1924,8,1998
240,1164,5,1950
840,952,5,1951
0,2358,8,1872
540,1680,6,1988
672,1912,6,1905
480,1004,6,1970
305,1230,4,1946
495,1167,5,1920
440,1301,5,1924
445,1453,7,1986
670,1601,8,2001
825,1588,8,2006
264,1095,6,1958
368,1050,5,1961
432,960,4,1965
280,1456,5,1948
462,1489,6,1968
786,1726,7,2007
484,2082,7,2003
484,1339,7,1990
1069,2450,8,1998
660,1863,7,2006
396,768,5,1972
0,334,1,1946
384,1136,6,1965
405,1337,6,1998
288,912,5,1964
264,1812,5,1962
240,2192,5,1939
0,1184,5,1910
308,1889,7,1910
624,1327,5,1959
576,1422,6,1981
576,1632,5,1967
451,1630,7,2000
0,1526,3,1915
420,1040,4,1949
216,1647,6,1915
576,1981,4,1928
418,1644,6,1953
868,2574,8,2007
520,1824,6,1919
520,1350,6,1964
440,958,6,1976
370,1848,6,1923
490,1620,4,1976
400,1167,6,1992
220,1487,6,1945
288,892,5,1967
240,804,5,1940
0,1140,5,2006
483,1796,6,1963
551,2030,6,1976
812,2007,10,2008
216,691,5,1920
676,1590,8,2008
325,1855,6,1954
442,1804,7,1999
543,1768,7,2003
807,3627,10,1995
403,1298,6,1985
484,1801,7,1959
0,630,5,1970
440,1103,6,1925
384,1178,4,1900
440,1196,4,1916
529,1372,7,2007
296,1431,6,1962
626,1422,7,2004
501,1953,6,1992
440,1121,4,2003
852,2473,8,2004
576,1057,5,1962
602,1110,5,1978
671,2270,8,1999
746,2018,9,2008
